,Gene,RNA tissue category,RNA TS TPM
435,APLP1,Tissue enriched,cerebral cortex: 440.4
436,APOA1,Tissue enhanced,liver: 8458.6;small intestine: 4128.6
437,APOA2,Tissue enriched,liver: 18325.0
438,APOA4,Group enriched,duodenum: 2211.8;small intestine: 3441.1
439,APOA5,Tissue enriched,liver: 259.2
440,APOB,Group enriched,duodenum: 182.8;liver: 618.9;small intestine: 333.2
441,APOBEC1,Group enriched,duodenum: 31.9;small intestine: 31.0
442,APOBEC2,Group enriched,heart muscle: 120.7;skeletal muscle: 403.8
443,APOBEC3A,Tissue enhanced,appendix: 29.8;bone marrow: 59.0
444,APOBEC3B,Tissue enhanced,bone marrow: 18.9
445,APOBEC4,Group enriched,fallopian tube: 19.6;testis: 18.6
446,APOBR,Tissue enhanced,spleen: 30.4
447,APOC1,Tissue enriched,liver: 7257.2
448,APOC2,Tissue enriched,liver: 4214.4
449,APOC3,Tissue enriched,liver: 8677.3
450,APOC4,Tissue enriched,liver: 347.3
451,APOC4-APOC2,Tissue enriched,liver: 109.7
452,APOD,Tissue enriched,breast: 4620.2
453,APOF,Tissue enriched,liver: 220.1
454,APOH,Tissue enriched,liver: 9090.4
455,APOLD1,Tissue enhanced,adipose tissue: 142.9
456,AQP10,Group enriched,duodenum: 68.4;small intestine: 48.7
457,AQP11,Tissue enhanced,duodenum: 24.1;small intestine: 23.1
458,AQP12A,Tissue enriched,pancreas: 27.8
459,AQP12B,Tissue enriched,pancreas: 35.7
460,AQP2,Group enriched,kidney: 435.9;seminal vesicle: 302.5
461,AQP4,Group enriched,cerebral cortex: 630.0;lung: 171.9
462,AQP5,Group enriched,salivary gland: 255.6;stomach: 53.3;testis: 176.4
463,AQP6,Tissue enriched,kidney: 20.8
464,AQP7,Tissue enriched,adipose tissue: 355.1
465,AQP8,Group enriched,colon: 321.2;pancreas: 269.5;rectum: 166.5
466,AQP9,Tissue enhanced,appendix: 102.4;liver: 353.0
467,ARC,Group enriched,adipose tissue: 14.2;adrenal gland: 13.4;cerebral cortex: 14.4;gallbladder: 3.3;seminal vesicle: 5.5
468,AREG,Tissue enhanced,placenta: 463.5
469,ARFGEF3,Tissue enhanced,cerebral cortex: 23.7;parathyroid gland: 29.7
470,ARG1,Tissue enhanced,bone marrow: 171.2;liver: 566.2
471,ARG2,Tissue enhanced,parathyroid gland: 94.0;prostate: 161.0;thyroid gland: 157.2
472,ARHGAP11B,Tissue enhanced,bone marrow: 2.0
473,ARHGAP15,Tissue enhanced,lymph node: 65.4
474,ARHGAP19,Tissue enhanced,testis: 34.2
475,ARHGAP25,Tissue enhanced,spleen: 89.6
476,ARHGAP28,Tissue enhanced,testis: 133.0
477,ARHGAP30,Tissue enhanced,lymph node: 86.1;spleen: 80.6
478,ARHGAP36,Tissue enriched,adrenal gland: 137.8
479,ARHGAP39,Tissue enhanced,testis: 16.4
480,ARHGAP4,Tissue enhanced,spleen: 95.1
481,ARHGAP40,Group enriched,breast: 38.1;epididymis: 43.7;esophagus: 12.6;seminal vesicle: 11.3;skin: 53.8
482,ARHGAP44,Tissue enhanced,parathyroid gland: 51.6
483,ARHGAP45,Tissue enhanced,appendix: 56.4;lymph node: 66.6;spleen: 77.8
484,ARHGAP6,Tissue enhanced,prostate: 44.3;seminal vesicle: 43.3
485,ARHGAP9,Tissue enhanced,bone marrow: 78.0
486,ARHGDIG,Tissue enhanced,cerebral cortex: 131.1;duodenum: 44.2
487,ARHGEF15,Tissue enhanced,adipose tissue: 37.2
488,ARHGEF16,Tissue enhanced,duodenum: 42.1
489,ARHGEF19,Tissue enhanced,skin: 20.9
490,ARHGEF33,Tissue enhanced,testis: 10.6
491,ARHGEF38,Tissue enhanced,breast: 10.0;prostate: 9.3
492,ARHGEF4,Tissue enhanced,cerebral cortex: 61.6;skin: 44.1
493,ARID3A,Tissue enhanced,placenta: 33.4
494,ARID3B,Tissue enhanced,testis: 35.9
495,ARID3C,Tissue enriched,liver: 5.9
496,ARL11,Tissue enhanced,lymph node: 7.6
497,ARL13A,Tissue enriched,testis: 7.6
498,ARL14,Tissue enhanced,gallbladder: 209.1;stomach: 70.2
499,ARL4A,Tissue enhanced,testis: 313.8
500,ARL9,Tissue enhanced,testis: 18.3
501,ARMC12,Tissue enriched,testis: 63.2
502,ARMC2,Tissue enhanced,testis: 62.0
503,ARMC3,Group enriched,fallopian tube: 74.2;testis: 61.0
504,ARMC4,Group enriched,fallopian tube: 28.9;testis: 40.2
505,ARMCX2,Tissue enhanced,epididymis: 202.3
506,ARMS2,Tissue enhanced,placenta: 2.0;testis: 2.9
507,ARNT2,Tissue enriched,cerebral cortex: 153.7
508,ARNTL2,Tissue enhanced,esophagus: 31.2
509,ARPP21,Tissue enriched,cerebral cortex: 127.1
510,ARR3,Tissue enhanced,skin: 2.7
511,ARRDC5,Tissue enriched,testis: 18.2
512,ARSE,Tissue enhanced,kidney: 41.3;liver: 49.3
513,ARSF,Group enriched,adrenal gland: 4.0;cerebral cortex: 2.1;epididymis: 2.0;esophagus: 2.3;kidney: 8.0;skin: 6.7
514,ARSG,Tissue enhanced,epididymis: 48.6
515,ARSK,Tissue enhanced,parathyroid gland: 22.7
516,ART1,Tissue enriched,skeletal muscle: 16.4
517,ART3,Tissue enhanced,skeletal muscle: 77.0;testis: 174.4
518,ART4,Tissue enhanced,liver: 27.2;spleen: 26.9
519,ART5,Tissue enhanced,ovary: 10.2;testis: 22.6
520,ARTN,Tissue enhanced,parathyroid gland: 21.2
521,ARX,Tissue enriched,ovary: 97.7
522,AS3MT,Group enriched,adrenal gland: 251.5;parathyroid gland: 119.3
523,ASAH2,Group enriched,duodenum: 83.5;small intestine: 71.3
524,ASAP2,Tissue enhanced,testis: 73.6
525,ASB10,Tissue enriched,skeletal muscle: 27.9
526,ASB11,Group enriched,heart muscle: 30.6;skeletal muscle: 42.1
527,ASB12,Tissue enriched,skeletal muscle: 30.7
528,ASB14,Tissue enhanced,skeletal muscle: 9.9
529,ASB15,Tissue enhanced,heart muscle: 19.2;skeletal muscle: 43.9
530,ASB16,Tissue enriched,skeletal muscle: 23.2
531,ASB17,Tissue enriched,testis: 84.7
532,ASB18,Group enriched,heart muscle: 4.3;skeletal muscle: 3.6;testis: 1.0
533,ASB2,Tissue enhanced,skeletal muscle: 85.8
534,ASB4,Group enriched,adrenal gland: 50.2;skeletal muscle: 11.5
535,ASB5,Tissue enhanced,skeletal muscle: 75.7
536,ASB9,Tissue enhanced,testis: 48.3
537,ASCL1,Group enriched,cerebral cortex: 16.2;liver: 6.4
538,ASCL3,Tissue enriched,salivary gland: 3.3
539,ASF1B,Tissue enhanced,testis: 37.2
540,ASGR1,Tissue enriched,liver: 236.1
541,ASGR2,Tissue enriched,liver: 317.7
542,ASIC1,Tissue enriched,cerebral cortex: 56.8
543,ASIC2,Group enriched,"cerebral cortex: 8.6;cervix, uterine: 3.9;endometrium: 6.4;smooth muscle: 2.2"
544,ASIC3,Tissue enhanced,testis: 8.1
545,ASIC4,Tissue enriched,cerebral cortex: 10.6
546,ASIC5,Group enriched,duodenum: 2.3;small intestine: 1.2
547,ASIP,Group enriched,epididymis: 18.1;ovary: 7.4;skin: 5.7
548,ASMT,Tissue enhanced,epididymis: 2.2
549,ASPA,Tissue enhanced,kidney: 39.8
550,ASPDH,Tissue enhanced,cerebral cortex: 17.9;kidney: 27.9;liver: 34.6
551,ASPG,Tissue enhanced,liver: 29.5
552,ASPHD1,Tissue enhanced,cerebral cortex: 53.5
553,ASPHD2,Tissue enhanced,cerebral cortex: 12.8
554,ASPN,Tissue enhanced,endometrium: 115.6;smooth muscle: 161.0
555,ASPRV1,Tissue enriched,skin: 286.1
556,ASS1,Tissue enhanced,kidney: 1259.9;liver: 1027.3
557,ASTL,Tissue enhanced,bone marrow: 2.4
558,ASTN1,Group enriched,adrenal gland: 19.6;cerebral cortex: 66.8
559,ASXL3,Tissue enhanced,ovary: 2.9
560,ASZ1,Tissue enriched,testis: 18.7
561,ATAD5,Tissue enhanced,bone marrow: 7.9
562,ATCAY,Tissue enriched,cerebral cortex: 108.9
563,ATF5,Group enriched,liver: 387.6;thyroid gland: 190.2
564,ATF7IP2,Tissue enhanced,testis: 35.7
565,ATG9B,Tissue enhanced,esophagus: 9.2;placenta: 5.8;skin: 13.5
566,ATL1,Tissue enhanced,cerebral cortex: 96.9
567,ATOH1,Group enriched,colon: 17.6;duodenum: 11.1;rectum: 19.7;small intestine: 22.4
568,ATOH7,Tissue enriched,cerebral cortex: 2.2
569,ATOH8,Tissue enhanced,adipose tissue: 31.6
570,ATP10B,Tissue enhanced,colon: 36.0;rectum: 40.3
571,ATP12A,Tissue enhanced,esophagus: 12.7;placenta: 8.2;tonsil: 14.1
572,ATP13A4,Tissue enhanced,epididymis: 87.9;parathyroid gland: 131.5;thyroid gland: 68.5
573,ATP13A5,Tissue enhanced,breast: 17.7
574,ATP1A2,Group enriched,cerebral cortex: 434.2;skeletal muscle: 307.0
575,ATP1A3,Tissue enhanced,cerebral cortex: 378.4;heart muscle: 86.0
576,ATP1A4,Tissue enhanced,placenta: 10.2;testis: 18.2;urinary bladder: 8.6
577,ATP1B2,Tissue enriched,cerebral cortex: 339.2
578,ATP1B4,Tissue enriched,skeletal muscle: 20.5
579,ATP23,Tissue enhanced,testis: 26.8
580,ATP2A1,Tissue enriched,skeletal muscle: 2781.9
581,ATP2B2,Tissue enriched,cerebral cortex: 64.7
582,ATP2B3,Group enriched,adrenal gland: 12.1;cerebral cortex: 19.0
583,ATP2C2,Tissue enhanced,rectum: 38.4
584,ATP4A,Tissue enriched,stomach: 557.9
585,ATP4B,Tissue enriched,stomach: 953.2
586,ATP6V0A4,Group enriched,kidney: 69.6;salivary gland: 31.6
587,ATP6V0D2,Tissue enriched,kidney: 59.4
588,ATP6V1B1,Group enriched,"breast: 16.1;cervix, uterine: 47.9;fallopian tube: 21.1;kidney: 64.8;placenta: 27.8;salivary gland: 66.5"
589,ATP6V1C2,Tissue enhanced,"cervix, uterine: 83.9;epididymis: 99.0;skin: 123.7"
590,ATP6V1E2,Group enriched,epididymis: 7.7;testis: 31.6
591,ATP6V1G2,Tissue enriched,cerebral cortex: 16.7
592,ATP6V1G3,Tissue enriched,kidney: 21.3
593,ATP8A1,Tissue enhanced,parathyroid gland: 68.8;thyroid gland: 66.6
594,ATP8A2,Group enriched,cerebral cortex: 26.4;testis: 10.7
595,ATP8B3,Tissue enriched,testis: 28.7
596,ATP8B4,Tissue enhanced,bone marrow: 23.0
597,ATRIP,Tissue enhanced,testis: 30.8
598,ATRNL1,Tissue enhanced,cerebral cortex: 33.9
599,ATXN3L,Tissue enriched,testis: 4.9
600,AUNIP,Tissue enriched,testis: 29.0
601,AURKA,Tissue enhanced,testis: 53.5
602,AURKB,Tissue enhanced,lymph node: 44.4
603,AURKC,Tissue enriched,testis: 73.7
604,AVPR1A,Tissue enhanced,adrenal gland: 77.8
605,AVPR2,Tissue enhanced,adipose tissue: 5.8
606,AWAT2,Tissue enhanced,breast: 2.0;skin: 1.2
607,AXDND1,Tissue enriched,testis: 24.5
608,AZGP1,Tissue enhanced,breast: 1201.5;liver: 1272.1;prostate: 1490.2;salivary gland: 1423.5
609,AZIN2,Tissue enhanced,testis: 30.1
610,AZU1,Tissue enriched,bone marrow: 1311.2
611,B3GALT1,Tissue enhanced,cerebral cortex: 5.2;colon: 3.7;rectum: 4.0
612,B3GALT2,Tissue enhanced,cerebral cortex: 29.0;gallbladder: 26.0
613,B3GALT5,Group enriched,colon: 22.7;duodenum: 27.5;gallbladder: 8.6;rectum: 40.5;small intestine: 37.2
614,B3GAT1,Tissue enriched,cerebral cortex: 115.4
615,B3GAT2,Tissue enriched,cerebral cortex: 19.5
616,B3GNT3,Tissue enhanced,rectum: 50.8
617,B3GNT4,Tissue enhanced,cerebral cortex: 4.3;skin: 2.9
618,B3GNT6,Tissue enhanced,colon: 21.7;rectum: 18.2;stomach: 23.5
619,B3GNT7,Tissue enhanced,rectum: 72.7
620,B3GNT8,Tissue enhanced,duodenum: 15.5;small intestine: 16.8
621,B3GNT9,Tissue enhanced,parathyroid gland: 49.9
622,B4GALNT1,Tissue enriched,cerebral cortex: 26.2
623,B4GALNT2,Tissue enhanced,colon: 33.3
624,B4GALNT3,Tissue enhanced,stomach: 69.3
625,B4GALNT4,Tissue enhanced,cerebral cortex: 30.9;ovary: 11.7
626,B4GAT1,Tissue enhanced,cerebral cortex: 185.2
627,BAALC,Tissue enriched,cerebral cortex: 247.7
628,BAAT,Tissue enriched,liver: 340.4
629,BACH2,Tissue enhanced,lymph node: 21.2
630,BAG2,Tissue enhanced,smooth muscle: 42.0
631,BAG5,Tissue enriched,testis: 241.5
632,BAIAP2L2,Tissue enhanced,duodenum: 107.2;small intestine: 97.5
633,BAIAP3,Tissue enhanced,adrenal gland: 24.9;cerebral cortex: 25.1;fallopian tube: 42.4
634,BAMBI,Tissue enhanced,ovary: 87.8
635,BANF2,Tissue enriched,testis: 125.1
636,BANK1,Group enriched,appendix: 45.9;lymph node: 96.8;spleen: 77.4;thyroid gland: 21.6;tonsil: 87.2
637,BARHL2,Tissue enriched,testis: 3.6
638,BARX1,Tissue enriched,stomach: 11.1
639,BARX2,Tissue enhanced,esophagus: 103.8;salivary gland: 60.3
640,BASP1,Tissue enhanced,cerebral cortex: 419.0;epididymis: 369.1
641,BATF,Tissue enhanced,lymph node: 31.4
642,BBOF1,Tissue enhanced,testis: 70.0
643,BBOX1,Tissue enriched,kidney: 473.0
644,BCAN,Tissue enriched,cerebral cortex: 428.3
645,BCAS1,Tissue enhanced,cerebral cortex: 108.7;stomach: 155.8
646,BCAS4,Tissue enhanced,lymph node: 25.3
647,BCHE,Tissue enhanced,liver: 265.5
648,BCL11A,Tissue enhanced,skin: 41.0
649,BCL11B,Tissue enhanced,lymph node: 12.2;skin: 18.7
650,BCL2,Tissue enhanced,thyroid gland: 69.3
651,BCL2A1,Tissue enhanced,appendix: 115.2;bone marrow: 277.0
652,BCL2L10,Tissue enhanced,skin: 6.1
653,BCL2L14,Tissue enhanced,rectum: 16.9;testis: 24.1
654,BCL2L15,Tissue enhanced,colon: 47.4;duodenum: 66.5;rectum: 52.2;small intestine: 64.3
655,BCO1,Tissue enhanced,duodenum: 8.7;small intestine: 14.8
656,BCO2,Tissue enhanced,heart muscle: 21.7;liver: 25.7
657,BDH1,Tissue enriched,liver: 170.2
658,BDKRB1,Tissue enhanced,gallbladder: 18.2
659,BDNF,Tissue enhanced,cerebral cortex: 11.9
660,BEGAIN,Tissue enriched,cerebral cortex: 20.0
661,BEND2,Tissue enriched,testis: 9.9
662,BEND4,Tissue enhanced,prostate: 5.3;testis: 17.7
663,BEND6,Tissue enriched,cerebral cortex: 39.2
664,BEST2,Tissue enhanced,colon: 15.4;rectum: 14.8
665,BEST3,Tissue enhanced,cerebral cortex: 16.3;skeletal muscle: 12.2
666,BEST4,Tissue enhanced,colon: 26.2;rectum: 21.3
667,BEX1,Tissue enhanced,cerebral cortex: 505.2
668,BEX2,Tissue enhanced,cerebral cortex: 226.5
669,BEX5,Tissue enhanced,cerebral cortex: 96.0
670,BHLHA15,Group enriched,pancreas: 85.5;salivary gland: 54.0
671,BHLHB9,Tissue enhanced,cerebral cortex: 18.8
672,BHLHE22,Tissue enhanced,cerebral cortex: 12.2
673,BHLHE41,Tissue enhanced,thyroid gland: 94.5
674,BHMG1,Tissue enriched,testis: 7.6
675,BHMT,Group enriched,kidney: 788.8;liver: 563.6
676,BHMT2,Group enriched,kidney: 362.7;liver: 238.5
677,BICC1,Tissue enhanced,kidney: 32.0
678,BICDL1,Tissue enhanced,kidney: 73.9;skin: 58.6
679,BICDL2,Tissue enhanced,skin: 28.5
680,BIN1,Group enriched,cerebral cortex: 156.4;skeletal muscle: 724.1
681,BIN2,Tissue enhanced,bone marrow: 65.8
682,BIRC3,Tissue enhanced,lymph node: 138.1
683,BIRC5,Tissue enhanced,testis: 26.8
684,BIRC7,Tissue enhanced,placenta: 9.2
685,BIRC8,Tissue enriched,testis: 17.8
686,BLK,Group enriched,appendix: 22.0;lymph node: 61.2;spleen: 40.6;tonsil: 51.4
687,BMP1,Tissue enhanced,placenta: 21.1
688,BMP10,Tissue enriched,heart muscle: 327.8
689,BMP3,Tissue enhanced,urinary bladder: 20.6
690,BMP5,Tissue enhanced,placenta: 102.6
691,BMP6,Tissue enhanced,placenta: 33.4
692,BMP7,Tissue enhanced,thyroid gland: 76.7
693,BMP8A,Tissue enriched,thyroid gland: 82.0
694,BMP8B,Tissue enhanced,thyroid gland: 33.5
695,BMPR1B,Tissue enhanced,"cervix, uterine: 37.2;prostate: 37.0"
696,BMX,Tissue enriched,epididymis: 125.0
697,BNC1,Tissue enhanced,testis: 56.0
698,BNC2,Tissue enhanced,endometrium: 44.5;ovary: 39.4;smooth muscle: 48.0
699,BNIPL,Group enriched,esophagus: 88.9;skin: 227.0
700,BOD1L2,Tissue enriched,testis: 425.7
701,BOK,Tissue enhanced,adipose tissue: 97.4
702,BOLL,Tissue enriched,testis: 87.9
703,BPI,Tissue enriched,bone marrow: 961.6
704,BPIFA1,Group enriched,"cervix, uterine: 9.8;lung: 26.5"
705,BPIFA2,Tissue enriched,salivary gland: 2662.8
706,BPIFA3,Tissue enriched,testis: 53.4
707,BPIFB1,Tissue enhanced,"cervix, uterine: 839.4;stomach: 443.3"
708,BPIFB2,Group enriched,esophagus: 98.5;salivary gland: 90.5
709,BPIFB3,Tissue enhanced,testis: 1.0
710,BPIFB4,Tissue enhanced,parathyroid gland: 1.3
711,BPIFC,Tissue enriched,skin: 75.6
712,BPY2,Tissue enriched,testis: 2.1
713,BPY2B,Tissue enriched,testis: 2.1
714,BPY2C,Tissue enriched,testis: 2.1
715,BRAP,Tissue enriched,testis: 120.9
716,BRCA2,Tissue enhanced,testis: 5.2
717,BRDT,Tissue enriched,testis: 235.9
718,BRINP1,Tissue enriched,cerebral cortex: 59.6
719,BRINP2,Group enriched,adrenal gland: 11.5;cerebral cortex: 35.4
720,BRINP3,Tissue enhanced,cerebral cortex: 44.5;small intestine: 19.6
721,BRIP1,Tissue enhanced,testis: 14.4
722,BRS3,Tissue enriched,epididymis: 30.5
723,BRSK1,Tissue enriched,cerebral cortex: 137.8
724,BRSK2,Tissue enhanced,cerebral cortex: 61.7;pancreas: 19.2
725,BSN,Tissue enriched,cerebral cortex: 28.2
726,BSND,Tissue enriched,kidney: 10.2
727,BSPH1,Tissue enriched,epididymis: 468.2
728,BSPRY,Tissue enriched,parathyroid gland: 254.8
729,BST1,Tissue enhanced,bone marrow: 105.5
730,BTBD11,Tissue enhanced,parathyroid gland: 130.5
731,BTBD16,Group enriched,skin: 9.9;testis: 14.2;urinary bladder: 19.0
732,BTBD17,Tissue enriched,cerebral cortex: 12.9
733,BTBD18,Tissue enriched,testis: 4.0
734,BTG4,Tissue enriched,testis: 47.5
735,BTK,Tissue enhanced,lymph node: 65.2;tonsil: 70.8
736,BTLA,Group enriched,appendix: 14.1;lymph node: 29.3;spleen: 14.6;tonsil: 24.7
737,BTN1A1,Tissue enriched,breast: 36.8
738,BTNL3,Group enriched,colon: 24.5;duodenum: 115.1;rectum: 26.3;small intestine: 89.1
739,BTNL8,Group enriched,colon: 26.1;duodenum: 117.4;rectum: 27.7;small intestine: 94.2
740,BTNL9,Tissue enhanced,adipose tissue: 166.9
741,BUB1,Tissue enhanced,testis: 69.5
742,BUB1B,Tissue enhanced,testis: 40.3
743,BVES,Tissue enhanced,smooth muscle: 25.0
744,BX072566.1,Tissue enriched,testis: 7.4
745,C10orf105,Tissue enhanced,cerebral cortex: 2.3;spleen: 3.2
746,C10orf107,Tissue enhanced,fallopian tube: 44.2;testis: 30.5
747,C10orf113,Tissue enriched,testis: 1.7
748,C10orf120,Tissue enriched,testis: 49.4
749,C10orf142,Tissue enhanced,testis: 2.3
750,C10orf35,Tissue enhanced,cerebral cortex: 27.6
751,C10orf53,Tissue enriched,testis: 43.5
752,C10orf62,Tissue enriched,testis: 244.6
753,C10orf67,Tissue enhanced,fallopian tube: 7.5;testis: 17.4
754,C10orf71,Group enriched,heart muscle: 28.8;parathyroid gland: 74.8;skeletal muscle: 97.7
755,C10orf82,Tissue enriched,testis: 111.7
756,C10orf90,Group enriched,breast: 5.6;cerebral cortex: 15.3;salivary gland: 4.3;testis: 12.1
757,C10orf95,Tissue enhanced,fallopian tube: 15.6
758,C10orf99,Group enriched,colon: 239.2;esophagus: 185.4;rectum: 264.2
759,C11orf16,Tissue enhanced,fallopian tube: 20.6;lung: 4.1
760,C11orf21,Tissue enhanced,bone marrow: 32.4;spleen: 17.6
761,C11orf42,Tissue enriched,testis: 20.3
762,C11orf53,Tissue enhanced,testis: 4.7
763,C11orf63,Tissue enhanced,testis: 63.8
764,C11orf65,Tissue enriched,testis: 94.0
765,C11orf70,Tissue enhanced,fallopian tube: 46.5;testis: 54.7
766,C11orf80,Tissue enhanced,skin: 48.2
767,C11orf86,Group enriched,duodenum: 68.2;small intestine: 70.9
768,C11orf87,Tissue enriched,cerebral cortex: 30.8
769,C11orf88,Group enriched,fallopian tube: 141.7;testis: 39.5
770,C11orf91,Tissue enhanced,adipose tissue: 5.8;gallbladder: 7.7;testis: 6.9
771,C11orf94,Tissue enriched,testis: 20.7
772,C11orf97,Group enriched,fallopian tube: 28.3;testis: 12.6
773,C12orf40,Tissue enriched,testis: 15.7
774,C12orf42,Tissue enriched,testis: 25.1
775,C12orf49,Tissue enhanced,thyroid gland: 62.5
776,C12orf50,Tissue enriched,testis: 87.9
777,C12orf54,Tissue enriched,testis: 86.6
778,C12orf56,Tissue enriched,testis: 15.2
779,C12orf60,Group enriched,adrenal gland: 5.9;testis: 23.9
780,C12orf71,Tissue enhanced,testis: 4.8
781,C12orf74,Tissue enhanced,fallopian tube: 1.9
782,C12orf75,Tissue enhanced,seminal vesicle: 138.7
783,C14orf105,Tissue enhanced,fallopian tube: 43.7;gallbladder: 27.1;kidney: 63.6
784,C14orf132,Tissue enhanced,cerebral cortex: 82.6
785,C14orf177,Tissue enriched,testis: 2.2
786,C14orf180,Group enriched,adipose tissue: 34.5;heart muscle: 28.5
787,C14orf39,Tissue enriched,testis: 19.7
788,C15orf39,Tissue enhanced,testis: 123.7
789,C15orf41,Tissue enhanced,heart muscle: 63.4
790,C15orf48,Tissue enhanced,colon: 716.6;rectum: 832.9
791,C15orf59,Tissue enhanced,cerebral cortex: 55.9
792,C15orf62,Tissue enhanced,esophagus: 14.9;skin: 12.6
793,C16orf45,Tissue enhanced,cerebral cortex: 171.9
794,C16orf46,Tissue enhanced,testis: 10.0
795,C16orf54,Tissue enhanced,bone marrow: 26.0
796,C16orf59,Tissue enhanced,testis: 5.5
797,C16orf71,Group enriched,fallopian tube: 35.8;testis: 113.1
798,C16orf78,Tissue enriched,testis: 71.0
799,C16orf82,Tissue enriched,testis: 301.0
800,C16orf86,Tissue enriched,testis: 27.5
801,C16orf87,Tissue enhanced,testis: 56.9
802,C16orf89,Tissue enhanced,lung: 145.4;thyroid gland: 352.5
803,C16orf90,Tissue enriched,testis: 21.4
804,C16orf92,Tissue enriched,testis: 22.9
805,C16orf95,Tissue enriched,testis: 80.4
806,C16orf96,Tissue enriched,testis: 10.9
807,C17orf105,Tissue enriched,testis: 20.2
808,C17orf47,Tissue enriched,testis: 16.3
809,C17orf50,Tissue enriched,testis: 38.9
810,C17orf51,Tissue enhanced,cerebral cortex: 16.6
811,C17orf53,Tissue enhanced,testis: 12.5
812,C17orf58,Tissue enhanced,placenta: 50.5
813,C17orf64,Tissue enriched,testis: 185.6
814,C17orf74,Tissue enriched,testis: 30.8
815,C17orf78,Group enriched,duodenum: 99.1;small intestine: 50.9
816,C17orf97,Tissue enhanced,testis: 28.4
817,C17orf98,Tissue enriched,testis: 9.5
818,C17orf99,Tissue enriched,bone marrow: 5.5
819,C18orf54,Tissue enriched,testis: 30.4
820,C18orf63,Tissue enriched,testis: 17.8
821,C19orf18,Tissue enhanced,testis: 17.0
822,C19orf38,Tissue enhanced,bone marrow: 62.8
823,C19orf45,Tissue enriched,testis: 16.7
824,C19orf57,Tissue enhanced,testis: 20.7
825,C19orf67,Tissue enriched,testis: 5.6
826,C19orf81,Tissue enriched,testis: 5.3
827,C19orf84,Tissue enriched,testis: 24.6
828,C1GALT1C1L,Tissue enhanced,testis: 11.8
829,C1orf100,Tissue enriched,testis: 71.1
830,C1orf101,Tissue enriched,testis: 38.5
831,C1orf105,Tissue enriched,testis: 46.2
832,C1orf106,Tissue enhanced,small intestine: 69.7
833,C1orf112,Tissue enhanced,parathyroid gland: 25.0
834,C1orf116,Tissue enhanced,esophagus: 112.4;lung: 109.2;prostate: 82.0
835,C1orf127,Tissue enhanced,skeletal muscle: 5.7
836,C1orf141,Group enriched,fallopian tube: 15.5;testis: 28.2
837,C1orf146,Tissue enriched,testis: 14.5
838,C1orf158,Group enriched,fallopian tube: 42.6;testis: 47.5
839,C1orf167,Tissue enriched,testis: 14.7
840,C1orf168,Tissue enhanced,fallopian tube: 21.4;liver: 8.6
841,C1orf185,Tissue enriched,testis: 43.0
842,C1orf186,Tissue enhanced,"cervix, uterine: 37.8"
843,C1orf189,Group enriched,fallopian tube: 127.5;testis: 69.2
844,C1orf194,Group enriched,fallopian tube: 198.1;testis: 199.1
845,C1orf216,Tissue enhanced,cerebral cortex: 60.6
846,C1orf228,Tissue enhanced,fallopian tube: 13.5;testis: 21.4
847,C1orf234,Tissue enriched,testis: 98.0
848,C1orf56,Tissue enriched,testis: 48.5
849,C1orf61,Tissue enriched,cerebral cortex: 504.3
850,C1orf64,Tissue enhanced,breast: 6.8
