,Gene,RNA tissue category,RNA TS TPM
7355,TP53TG3D,Tissue enhanced,epididymis: 4.2;testis: 4.2
7356,TP53TG3F,Group enriched,epididymis: 7.4;testis: 4.2
7357,TP53TG5,Tissue enriched,testis: 22.2
7358,TP63,Tissue enhanced,esophagus: 60.9;skin: 164.1
7359,TP73,Group enriched,fallopian tube: 10.8;skin: 7.7
7360,TPBGL,Tissue enhanced,cerebral cortex: 3.1;testis: 5.0
7361,TPD52L1,Tissue enhanced,adrenal gland: 320.2
7362,TPD52L3,Tissue enriched,testis: 275.3
7363,TPH1,Group enriched,colon: 8.8;duodenum: 10.2;rectum: 21.0;small intestine: 12.6;stomach: 15.5
7364,TPH2,Tissue enhanced,cerebral cortex: 1.0
7365,TPM2,Tissue enriched,skeletal muscle: 13466.0
7366,TPM3,Tissue enriched,skeletal muscle: 2869.3
7367,TPO,Tissue enriched,thyroid gland: 1817.4
7368,TPPP,Tissue enriched,cerebral cortex: 166.6
7369,TPPP2,Tissue enriched,testis: 309.1
7370,TPPP3,Tissue enriched,fallopian tube: 1311.7
7371,TPRG1,Tissue enhanced,esophagus: 49.1
7372,TPRX1,Tissue enriched,testis: 1.3
7373,TPSAB1,Tissue enhanced,gallbladder: 211.6
7374,TPSB2,Tissue enhanced,gallbladder: 156.9
7375,TPSD1,Tissue enhanced,lung: 26.9
7376,TPSG1,Tissue enhanced,colon: 14.6;duodenum: 14.3;rectum: 9.5;small intestine: 10.5
7377,TPTE,Tissue enriched,testis: 191.3
7378,TPTE2,Tissue enriched,testis: 11.9
7379,TPX2,Tissue enhanced,testis: 55.6
7380,TRABD2A,Tissue enhanced,colon: 35.4;ovary: 30.7;rectum: 43.1
7381,TRABD2B,Tissue enhanced,kidney: 7.7
7382,TRAF1,Tissue enhanced,lymph node: 37.6
7383,TRAF3IP3,Tissue enhanced,lymph node: 114.8;spleen: 82.5;tonsil: 82.8
7384,TRAT1,Tissue enhanced,appendix: 14.0;lymph node: 26.4
7385,TRDN,Group enriched,heart muscle: 273.5;skeletal muscle: 650.2
7386,TREH,Tissue enhanced,duodenum: 60.6;small intestine: 72.6
7387,TREM1,Tissue enhanced,appendix: 67.7;bone marrow: 63.0;lung: 103.1
7388,TREM2,Tissue enhanced,cerebral cortex: 37.0;lung: 40.5
7389,TREML1,Tissue enhanced,bone marrow: 5.0;lymph node: 6.5
7390,TREML2,Tissue enhanced,appendix: 9.3;bone marrow: 10.0;lymph node: 11.9
7391,TREX2,Tissue enriched,skin: 28.8
7392,TRH,Group enriched,"cervix, uterine: 32.1;endometrium: 27.4"
7393,TRIB3,Tissue enhanced,thyroid gland: 51.4
7394,TRIL,Tissue enhanced,cerebral cortex: 24.9
7395,TRIM15,Tissue enhanced,colon: 2.6;duodenum: 3.6
7396,TRIM17,Tissue enhanced,testis: 27.8
7397,TRIM2,Tissue enhanced,cerebral cortex: 155.1
7398,TRIM29,Group enriched,esophagus: 400.3;skin: 455.7
7399,TRIM31,Group enriched,colon: 10.0;small intestine: 2.3;stomach: 2.1;urinary bladder: 2.7
7400,TRIM36,Tissue enriched,testis: 313.5
7401,TRIM42,Tissue enriched,testis: 29.2
7402,TRIM46,Tissue enhanced,cerebral cortex: 7.9;epididymis: 4.0
7403,TRIM50,Tissue enhanced,stomach: 10.4;testis: 4.6
7404,TRIM54,Tissue enhanced,heart muscle: 63.9;skeletal muscle: 181.1
7405,TRIM55,Tissue enhanced,heart muscle: 40.0;liver: 19.7
7406,TRIM58,Group enriched,bone marrow: 16.1;placenta: 6.8;testis: 5.4;thyroid gland: 22.0
7407,TRIM6,Tissue enhanced,kidney: 22.5
7408,TRIM60,Group enriched,placenta: 2.1;testis: 2.7
7409,TRIM61,Tissue enhanced,testis: 10.5
7410,TRIM63,Group enriched,heart muscle: 101.2;skeletal muscle: 139.3
7411,TRIM64,Tissue enriched,placenta: 1.1
